dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_Bottom,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-17T05-00-00Z,45.7616667,13.4963333,11.62,22.37,-33.79,0.003,0.016,0.016,10.62,-0.013,0.04,0.042,342
2024-09-17T05-10-00Z,45.7616667,13.4963333,11.67,22.37,-38.49,-0.002,0.026,0.026,355.6,-0.06,0.054,0.081,311.99
2024-09-17T05-20-00Z,45.7616667,13.4963333,11.73,22.37,-74.19,-0.042,0.035,0.055,309.81,-0.05,0.104,0.115,334.32
2024-09-17T05-30-00Z,45.7616667,13.4963333,11.79,22.37,-31.03,0.009,0.014,0.017,32.74,-0.006,0.065,0.065,354.73
2024-09-17T05-40-00Z,45.7616667,13.4963333,11.82,22.37,-12.79,-0.01,-0.003,0.01,253.3,-0.031,0.03,0.043,314.06
2024-09-17T05-50-00Z,45.7616667,13.4963333,11.87,22.37,8.25,-0.03,-0.036,0.047,219.81,-0.021,-0,0.021,270
2024-09-17T06-00-00Z,45.7616667,13.4963333,11.9,22.37,5.15,-0.03,0,0.03,270,0.007,0.005,0.009,54.46
2024-09-17T06-10-00Z,45.7616667,13.4963333,11.93,22.36,-2.67,-0.036,0.033,0.049,312.51,0.003,0.016,0.016,10.62
2024-09-17T06-20-00Z,45.7616667,13.4963333,11.97,22.36,-16.7,0.022,0.046,0.051,25.56,0,0.035,0.035,0
2024-09-17T06-30-00Z,45.7616667,13.4963333,12.02,22.36,-17.83,-0.013,0.055,0.057,346.7,-0,0.03,0.03,0
2024-09-17T06-40-00Z,45.7616667,13.4963333,12.06,22.36,-45.49,-0.05,0.052,0.072,316.12,-0.001,0.064,0.064,359.1
2024-09-17T06-50-00Z,45.7616667,13.4963333,12.09,22.36,-24.4,0.016,-0.044,0.047,160.02,-0.029,0.04,0.049,324.06
2024-09-17T07-00-00Z,45.7616667,13.4963333,12.13,22.36,-44.49,0.001,-0.029,0.029,178.03,-0.03,0.043,0.052,325.1
2024-09-17T07-10-00Z,45.7616667,13.4963333,12.17,22.36,-49.92,-0.033,-0.065,0.073,206.92,-0.063,0.059,0.086,313.12
2024-09-17T07-20-00Z,45.7616667,13.4963333,12.22,22.35,-56.62,-0.003,0.014,0.014,347.91,-0.017,0.067,0.069,345.76
2024-09-17T07-30-00Z,45.7616667,13.4963333,12.28,22.36,-47.59,-0.016,0.029,0.033,331.11,-0.026,0.04,0.048,326.98
2024-09-17T07-40-00Z,45.7616667,13.4963333,12.34,22.36,-61.98,-0.023,0.026,0.035,318.5,-0.067,0.062,0.091,312.78
2024-09-17T07-50-00Z,45.7616667,13.4963333,12.38,22.36,-51.16,-0.012,0.03,0.032,338.2,-0.053,0.042,0.068,308.4
2024-09-17T08-00-00Z,45.7616667,13.4963333,12.42,22.36,-62.41,-0.011,0.027,0.029,337.83,-0.052,0.063,0.082,320.46
2024-09-17T08-10-00Z,45.7616667,13.4963333,12.45,22.37,-14.57,-0.004,-0.033,0.033,186.91,-0.025,0.019,0.031,307.23
2024-09-17T08-20-00Z,45.7616667,13.4963333,12.45,22.39,-2.64,0.008,-0.063,0.064,172.76,-0.016,0.018,0.024,318.37
2024-09-17T08-30-00Z,45.7616667,13.4963333,12.45,22.39,21.5,-0.004,-0.058,0.058,183.95,0.017,-0.008,0.019,115.2
2024-09-17T08-40-00Z,45.7616667,13.4963333,12.44,22.4,13.08,0.057,-0.025,0.062,113.68,-0.023,-0.016,0.028,235.18
2024-09-17T08-50-00Z,45.7616667,13.4963333,12.43,22.39,9.81,0.032,-0.019,0.037,120.7,0.003,-0.022,0.022,172.23
2024-09-17T09-00-00Z,45.7616667,13.4963333,12.39,22.39,49.67,-0.028,-0.033,0.043,220.31,0.019,-0.05,0.053,159.19
2024-09-17T09-10-00Z,45.7616667,13.4963333,12.34,22.4,87.54,-0.01,-0.048,0.049,191.77,0.02,-0.116,0.118,170.22
2024-09-17T09-20-00Z,45.7616667,13.4963333,12.31,22.4,102.95,0.019,-0.016,0.025,130.1,0.039,-0.128,0.134,163.05
2024-09-17T09-30-00Z,45.7616667,13.4963333,12.27,22.4,55.46,0.013,0,0.013,90,0.037,-0.069,0.078,151.8
2024-09-17T09-40-00Z,45.7616667,13.4963333,12.23,22.39,18.26,-0.02,-0.008,0.022,248.2,-0.052,-0.051,0.073,225.56
2024-09-17T09-50-00Z,45.7616667,13.4963333,12.18,22.39,24.61,-0.021,-0.043,0.048,206.03,-0.033,-0.047,0.057,215.07
2024-09-17T10-00-00Z,45.7616667,13.4963333,12.15,22.39,93.42,-0.005,0.024,0.025,348.23,0.007,-0.104,0.104,176.15
2024-09-17T10-10-00Z,45.7616667,13.4963333,12.1,22.39,1.99,0.003,0.015,0.015,11.31,-0.002,-0.016,0.016,187.13
2024-09-17T10-20-00Z,45.7616667,13.4963333,12.07,22.39,55.8,-0.023,0.012,0.026,297.55,0.03,-0.074,0.08,157.93
2024-09-17T10-30-00Z,45.7616667,13.4963333,12.04,22.39,-1.78,0.017,0.021,0.027,38.99,-0.002,-0.003,0.004,213.69
2024-09-17T10-40-00Z,45.7616667,13.4963333,12.03,22.39,8.43,-0.003,0.013,0.013,347.01,0.012,-0.017,0.021,144.78
2024-09-17T10-50-00Z,45.7616667,13.4963333,12.02,22.39,31.44,-0.037,-0.018,0.041,244.06,0.031,-0.038,0.049,140.79
2024-09-17T11-20-00Z,45.7616667,13.4963333,11.99,22.38,117.3,-0.015,-0.039,0.042,201.04,0.063,-0.151,0.164,157.35
2024-09-17T11-30-00Z,45.7616667,13.4963333,11.96,22.38,105.63,-0.001,0.003,0.003,341.57,0.057,-0.147,0.158,158.81
2024-09-17T11-40-00Z,45.7616667,13.4963333,11.92,22.38,118.76,-0.019,0.016,0.025,310.1,0.052,-0.169,0.177,162.9
2024-09-17T11-50-00Z,45.7616667,13.4963333,11.86,22.38,124.5,-0.05,0.01,0.051,281.31,0.071,-0.184,0.197,158.9
2024-09-17T12-00-00Z,45.7616667,13.4963333,11.82,22.37,109.38,0.006,0.016,0.017,20.56,0.049,-0.146,0.154,161.45
2024-09-17T12-10-00Z,45.7616667,13.4963333,11.78,22.37,79.8,0.005,0.033,0.033,8.62,0.066,-0.107,0.126,148.33
2024-09-17T12-30-00Z,45.7616667,13.4963333,11.74,22.38,86.29,-0.045,0.01,0.046,282.53,0.059,-0.121,0.135,154.01
