dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_BottomAvrg,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-24T07-30-00Z,45.7616667,13.4963333,11.94,21.02,-36.77,-0.083,0.081,0.116,314.3,-0.036,0.025,0.044,304.78
2024-09-24T07-40-00Z,45.7616667,13.4963333,11.97,21.02,-22.03,-0.032,-0.012,0.034,249.44,-0.025,0.039,0.046,327.34
2024-09-24T07-50-00Z,45.7616667,13.4963333,11.97,21.03,45.12,-0.015,-0.039,0.042,201.04,0.03,-0.034,0.045,138.58
2024-09-24T08-00-00Z,45.7616667,13.4963333,11.95,21.03,35.55,0.011,-0.035,0.037,162.55,0.004,-0.038,0.038,173.99
2024-09-24T08-10-00Z,45.7616667,13.4963333,11.95,21.03,41.03,-0.002,0.016,0.016,352.87,0.021,-0.056,0.06,159.44
2024-09-24T08-20-00Z,45.7616667,13.4963333,11.93,21.03,42.97,-0.036,-0.001,0.036,268.41,0.002,-0.056,0.056,177.95
2024-09-24T08-30-00Z,45.7616667,13.4963333,11.93,21.02,-2.27,-0.011,0.011,0.016,315,0,0.017,0.017,0
2024-09-24T08-40-00Z,45.7616667,13.4963333,11.95,21.03,-35.89,-0.029,0.014,0.032,295.77,-0.023,0.053,0.058,336.54
2024-09-24T08-50-00Z,45.7616667,13.4963333,11.94,21.03,1.62,-0.01,0,0.01,270,-0.003,0.005,0.006,329.04
2024-09-24T09-00-00Z,45.7616667,13.4963333,11.96,21.04,10.82,-0.003,0.023,0.023,352.57,0.017,-0.009,0.019,117.9
2024-09-24T09-10-00Z,45.7616667,13.4963333,11.97,21.04,-11.54,0.005,0.055,0.055,5.19,0.006,0.023,0.024,14.62
2024-09-24T09-20-00Z,45.7616667,13.4963333,11.98,21.04,-28.84,0.002,0.043,0.043,2.66,-0.015,0.035,0.038,336.8
2024-09-24T09-30-00Z,45.7616667,13.4963333,12.01,21.04,-70.91,-0.051,0.084,0.098,328.74,0.02,0.083,0.085,13.55
2024-09-24T09-40-00Z,45.7616667,13.4963333,12.02,21.05,-87.76,-0.006,0.036,0.036,350.54,0.002,0.114,0.114,1.01
2024-09-24T09-50-00Z,45.7616667,13.4963333,12.03,21.05,-85.39,-0.032,0.015,0.035,295.11,-0.041,0.102,0.11,338.1
2024-09-24T10-00-00Z,45.7616667,13.4963333,12.06,21.06,-28.26,-0.013,0,0.013,270,0.004,0.048,0.048,4.76
2024-09-24T10-10-00Z,45.7616667,13.4963333,12.08,21.06,-34.07,-0.012,0,0.012,270,-0,0.052,0.052,0
2024-09-24T10-20-00Z,45.7616667,13.4963333,12.09,21.07,-78.43,-0.018,-0.021,0.028,220.6,-0.025,0.11,0.113,347.2
2024-09-24T10-30-00Z,45.7616667,13.4963333,12.1,21.08,-75.81,-0.049,-0.014,0.051,254.05,-0,0.123,0.123,0
2024-09-24T10-40-00Z,45.7616667,13.4963333,12.13,21.08,-82.26,-0.013,-0.011,0.017,229.76,0.023,0.081,0.084,15.85
2024-09-24T10-50-00Z,45.7616667,13.4963333,12.13,21.09,-86.91,-0.08,-0.01,0.081,262.87,0.002,0.08,0.08,1.43
2024-09-24T11-00-00Z,45.7616667,13.4963333,12.14,21.09,-74.99,-0.022,-0.039,0.045,209.43,-0.005,0.072,0.072,356.03
2024-09-24T11-10-00Z,45.7616667,13.4963333,12.12,21.09,-76.1,-0.011,-0.07,0.071,188.93,0.008,0.102,0.102,4.48
2024-09-24T11-20-00Z,45.7616667,13.4963333,12.12,21.09,-109.45,-0.046,-0.016,0.049,250.82,-0.011,0.093,0.094,353.25
2024-09-24T11-30-00Z,45.7616667,13.4963333,12.1,21.09,-55.69,-0.036,-0.034,0.05,226.64,-0.001,0.092,0.092,359.38
2024-09-24T11-40-00Z,45.7616667,13.4963333,12.11,21.09,-84.38,-0.013,0.022,0.026,329.42,-0.018,0.11,0.111,350.71
2024-09-24T11-50-00Z,45.7616667,13.4963333,12.12,21.09,-66.59,-0.025,-0.001,0.025,267.71,-0.007,0.059,0.059,353.23
2024-09-24T12-00-00Z,45.7616667,13.4963333,12.15,21.09,-43.11,-0.017,0.017,0.024,315,0.016,0.053,0.055,16.8
2024-09-24T12-10-00Z,45.7616667,13.4963333,12.12,21.09,75.25,-0.033,-0.05,0.06,213.42,0.032,-0.06,0.068,151.93
2024-09-24T12-20-00Z,45.7616667,13.4963333,12.13,21.09,-43.49,-0.046,-0.009,0.047,258.93,0.004,0.033,0.033,6.91
2024-09-24T12-30-00Z,45.7616667,13.4963333,12.12,21.09,-35.12,-0.001,0,0.001,270,0.028,0.018,0.033,57.26
2024-09-24T12-40-00Z,45.7616667,13.4963333,12.1,21.09,-49.5,-0.005,0.019,0.02,345.26,0.027,0.058,0.064,24.96
2024-09-24T12-50-00Z,45.7616667,13.4963333,12.06,21.1,-10.8,-0.041,-0.009,0.042,257.62,0.032,0.011,0.034,71.03
2024-09-24T13-00-00Z,45.7616667,13.4963333,12.05,21.09,1.96,-0.027,-0.002,0.027,265.76,0.003,-0.021,0.021,171.87
2024-09-24T13-10-00Z,45.7616667,13.4963333,12.04,21.09,-23.12,0,0.013,0.013,0,0.012,0.034,0.036,19.44
2024-09-24T13-20-00Z,45.7616667,13.4963333,12.03,21.09,-38.14,-0.038,0.022,0.044,300.07,-0.005,0.04,0.04,352.87
2024-09-24T13-30-00Z,45.7616667,13.4963333,12.01,21.09,-1.73,0.004,0.038,0.038,6.01,0.014,-0.004,0.015,105.95
2024-09-24T13-40-00Z,45.7616667,13.4963333,12,21.09,-54.59,-0.026,0.033,0.042,321.77,-0.009,0.066,0.067,352.23
2024-09-24T13-50-00Z,45.7616667,13.4963333,11.98,21.1,-24.19,0.003,0.004,0.005,36.87,0.031,0.041,0.051,37.09
2024-09-24T14-00-00Z,45.7616667,13.4963333,11.95,21.09,31.02,-0.054,0.044,0.07,309.17,0.057,-0.03,0.064,117.76
2024-09-24T14-10-00Z,45.7616667,13.4963333,11.94,21.09,26.81,-0.063,-0.013,0.064,258.34,0.018,-0.039,0.043,155.22
2024-09-24T14-20-00Z,45.7616667,13.4963333,11.93,21.09,-42.5,-0.026,-0.012,0.029,245.22,-0.052,0.039,0.065,306.87
2024-09-24T14-30-00Z,45.7616667,13.4963333,11.92,21.1,1.9,-0.04,0.029,0.049,305.94,0.05,-0.004,0.05,94.57
2024-09-24T14-40-00Z,45.7616667,13.4963333,11.91,21.1,-10.82,-0.044,0.018,0.048,292.25,0.032,0.024,0.04,53.13
2024-09-24T14-50-00Z,45.7616667,13.4963333,11.89,21.11,21.46,-0.068,0.024,0.072,289.44,0.027,-0.03,0.04,138.01
2024-09-24T15-00-00Z,45.7616667,13.4963333,11.89,21.11,-49.99,-0.011,0.031,0.033,340.46,0.031,0.06,0.068,27.32
2024-09-24T15-10-00Z,45.7616667,13.4963333,11.88,21.11,-68.41,-0.071,0.036,0.08,296.89,-0.017,0.073,0.075,346.89
2024-09-24T15-20-00Z,45.7616667,13.4963333,11.85,21.11,-50.84,-0.09,-0.017,0.092,259.3,-0.003,0.065,0.065,357.36
2024-09-24T15-30-00Z,45.7616667,13.4963333,11.86,21.1,-76.16,-0.041,0.028,0.05,304.33,-0.046,0.073,0.086,327.78
2024-09-24T15-40-00Z,45.7616667,13.4963333,11.84,21.1,-50.22,-0.062,-0.001,0.062,269.08,-0.025,0.043,0.05,329.83
2024-09-24T15-50-00Z,45.7616667,13.4963333,11.81,21.1,-62.44,-0.054,-0.012,0.055,257.47,-0.006,0.077,0.077,355.54
2024-09-24T16-00-00Z,45.7616667,13.4963333,11.78,21.1,-8.05,-0.054,-0.043,0.069,231.47,0.038,0.016,0.041,67.17
2024-09-24T16-10-00Z,45.7616667,13.4963333,11.75,21.1,-51.09,-0.076,-0.001,0.076,269.25,-0.014,0.048,0.05,343.74
2024-09-24T16-20-00Z,45.7616667,13.4963333,11.73,21.1,-26.6,-0.009,0.017,0.019,332.1,-0.01,0.034,0.035,343.61
2024-09-24T16-30-00Z,45.7616667,13.4963333,11.72,21.1,-60.31,-0.013,0.049,0.051,345.14,0.027,0.083,0.087,18.02
2024-09-24T16-40-00Z,45.7616667,13.4963333,11.73,21.1,-78.37,-0.016,0.045,0.048,340.43,-0.041,0.088,0.097,335.02
2024-09-24T16-50-00Z,45.7616667,13.4963333,11.73,21.1,-68.83,0.001,0.062,0.062,0.92,-0.002,0.089,0.089,358.71
2024-09-24T17-00-00Z,45.7616667,13.4963333,11.74,21.1,-83.82,0.003,0.047,0.047,3.65,-0.002,0.105,0.105,358.91
2024-09-24T17-10-00Z,45.7616667,13.4963333,11.74,21.1,-78.25,-0.07,0.023,0.074,288.19,0.016,0.089,0.09,10.19
2024-09-24T17-20-00Z,45.7616667,13.4963333,11.74,21.1,-72.23,-0.112,0.001,0.112,270.51,0.003,0.084,0.084,2.05
2024-09-24T17-30-00Z,45.7616667,13.4963333,11.72,21.1,-94.59,-0.05,-0.013,0.052,255.43,-0.046,0.113,0.122,337.85
2024-09-24T17-40-00Z,45.7616667,13.4963333,11.7,21.1,-41.84,-0.079,-0.006,0.079,265.66,-0.008,0.037,0.038,347.8
2024-09-24T17-50-00Z,45.7616667,13.4963333,11.7,21.1,-32.5,-0.063,-0.006,0.063,264.56,-0.042,0.03,0.052,305.54
2024-09-24T18-00-00Z,45.7616667,13.4963333,11.7,21.1,-67.23,-0.01,0.008,0.013,308.66,-0.022,0.083,0.086,345.15
2024-09-24T18-10-00Z,45.7616667,13.4963333,11.7,21.1,-13.12,0.001,-0.005,0.005,168.69,0,0.016,0.016,0
2024-09-24T18-20-00Z,45.7616667,13.4963333,11.73,21.1,-32.96,-0.015,0.01,0.018,303.69,-0.023,0.026,0.035,318.5
2024-09-24T18-30-00Z,45.7616667,13.4963333,11.71,21.1,16.49,0.024,-0.028,0.037,139.4,-0.019,-0.025,0.031,217.23
2024-09-24T18-40-00Z,45.7616667,13.4963333,11.73,21.1,-7.66,-0.066,-0.003,0.066,267.4,-0.019,-0.013,0.023,235.62
2024-09-24T18-50-00Z,45.7616667,13.4963333,11.73,21.1,23.09,-0.024,0.004,0.024,279.46,-0.018,-0.049,0.052,200.17
2024-09-24T19-00-00Z,45.7616667,13.4963333,11.71,21.1,33.88,-0.027,-0.016,0.031,239.35,-0,-0.053,0.053,180
2024-09-24T19-10-00Z,45.7616667,13.4963333,11.71,21.09,12.11,-0.004,0.006,0.007,326.31,-0.012,-0.044,0.046,195.26
2024-09-24T19-20-00Z,45.7616667,13.4963333,11.71,21.1,-23.78,-0.001,0.04,0.04,358.57,0.009,0.014,0.017,32.74
2024-09-24T19-30-00Z,45.7616667,13.4963333,11.71,21.1,-33.44,-0.047,0.021,0.051,294.08,-0.004,0.022,0.022,349.7
2024-09-24T19-40-00Z,45.7616667,13.4963333,11.74,21.1,42.32,0.006,0.022,0.023,15.26,0.017,-0.065,0.067,165.34
2024-09-24T19-50-00Z,45.7616667,13.4963333,11.75,21.1,-11.21,0.002,0.035,0.035,3.27,-0.001,-0.001,0.001,225
2024-09-24T20-00-00Z,45.7616667,13.4963333,11.77,21.1,22,-0.047,0.001,0.047,271.22,-0,-0.04,0.04,180
2024-09-24T20-10-00Z,45.7616667,13.4963333,11.78,21.1,78.79,-0.061,-0.011,0.062,259.78,0.044,-0.106,0.115,157.46
2024-09-24T20-20-00Z,45.7616667,13.4963333,11.76,21.1,30.68,-0.035,0.02,0.04,299.74,0.025,-0.064,0.069,158.66
2024-09-24T20-30-00Z,45.7616667,13.4963333,11.74,21.1,47.15,-0.062,-0.015,0.064,256.4,0.028,-0.076,0.081,159.78
2024-09-24T20-40-00Z,45.7616667,13.4963333,11.74,21.1,133.69,-0.022,-0.006,0.023,254.74,0.037,-0.194,0.197,169.2
2024-09-24T20-50-00Z,45.7616667,13.4963333,11.74,21.1,102.08,-0.004,0.047,0.047,355.14,-0.001,-0.165,0.165,180.35
