dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_Bottom,Int_Bottom,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_Top,Dir_Top
2024-08-30T04-50-00Z,45.7616667,13.4963333,11.93,27.2,21.57,0.163,-0.027,0.165,99.41,-0.001,-0.024,0.024,182.39
2024-08-30T05-00-00Z,45.7616667,13.4963333,11.96,27.2,20.92,0.184,-0.035,0.187,100.77,0.028,-0.006,0.029,102.09
2024-08-30T05-10-00Z,45.7616667,13.4963333,12,27.19,32.72,0.237,0.004,0.237,89.03,0.033,-0.037,0.05,138.27
2024-08-30T05-20-00Z,45.7616667,13.4963333,12.04,27.19,21.34,0.225,-0.004,0.225,91.02,0.02,-0.017,0.026,130.36
2024-08-30T05-30-00Z,45.7616667,13.4963333,12.07,27.19,14.6,0.229,0.014,0.229,86.5,0.045,-0.012,0.047,104.93
2024-08-30T05-40-00Z,45.7616667,13.4963333,12.1,27.19,33.9,0.239,0.021,0.24,84.98,0.049,-0.042,0.065,130.6
2024-08-30T05-50-00Z,45.7616667,13.4963333,12.13,27.19,11.97,0.239,0.02,0.24,85.22,0.059,-0,0.059,90
2024-08-30T06-00-00Z,45.7616667,13.4963333,12.15,27.19,26.75,0.208,0.031,0.21,81.52,0.055,-0.044,0.07,128.66
2024-08-30T06-10-00Z,45.7616667,13.4963333,12.18,27.19,29.93,0.09,0.033,0.096,69.86,0.057,-0.047,0.074,129.51
2024-08-30T06-20-00Z,45.7616667,13.4963333,12.21,27.19,40.51,0.123,0.006,0.123,87.21,0.065,-0.043,0.078,123.49
2024-08-30T06-30-00Z,45.7616667,13.4963333,12.22,27.19,45.9,0.097,0.002,0.097,88.82,0.084,-0.057,0.102,124.16
2024-08-30T06-40-00Z,45.7616667,13.4963333,12.23,27.19,54.52,0.09,0.02,0.092,77.47,0.089,-0.061,0.108,124.43
2024-08-30T06-50-00Z,45.7616667,13.4963333,12.24,27.19,38.56,0.127,0.027,0.13,78,0.052,-0.048,0.071,132.71
2024-08-30T07-00-00Z,45.7616667,13.4963333,12.24,27.19,65.52,0.085,0.017,0.087,78.69,0.063,-0.091,0.111,145.3
2024-08-30T07-10-00Z,45.7616667,13.4963333,12.25,27.19,65.44,0.088,-0.002,0.088,91.3,0.085,-0.075,0.113,131.42
2024-08-30T07-20-00Z,45.7616667,13.4963333,12.24,27.19,53.41,0.075,-0.016,0.077,102.04,0.07,-0.055,0.089,128.16
2024-08-30T07-30-00Z,45.7616667,13.4963333,12.24,27.18,65.96,0.106,-0.003,0.106,91.62,0.077,-0.067,0.102,131.03
2024-08-30T07-40-00Z,45.7616667,13.4963333,12.24,27.18,45.64,0.086,0.021,0.089,76.28,0.088,-0.042,0.098,115.51
2024-08-30T07-50-00Z,45.7616667,13.4963333,12.24,27.18,65.36,0.109,0.01,0.109,84.76,0.089,-0.07,0.113,128.19
2024-08-30T08-00-00Z,45.7616667,13.4963333,12.23,27.18,67.27,0.067,-0.021,0.07,107.4,0.088,-0.072,0.114,129.29
2024-08-30T08-10-00Z,45.7616667,13.4963333,12.22,27.18,75.59,-0.001,-0.026,0.026,182.2,0.083,-0.094,0.125,138.56
2024-08-30T08-20-00Z,45.7616667,13.4963333,12.2,27.18,74.79,-0.008,-0.029,0.03,195.42,0.062,-0.101,0.119,148.46
2024-08-30T08-30-00Z,45.7616667,13.4963333,12.16,27.19,75.48,0.015,-0.041,0.044,159.9,0.094,-0.089,0.129,133.43
2024-08-30T08-40-00Z,45.7616667,13.4963333,12.14,27.19,79.08,0.11,-0.012,0.111,96.23,0.042,-0.095,0.104,156.15
2024-08-30T08-50-00Z,45.7616667,13.4963333,12.12,27.18,80.2,0.037,-0.045,0.058,140.57,0.034,-0.091,0.097,159.51
2024-08-30T09-00-00Z,45.7616667,13.4963333,12.1,27.18,71.39,0.068,-0.024,0.072,109.44,0.03,-0.101,0.105,163.46
2024-08-30T09-10-00Z,45.7616667,13.4963333,12.09,27.18,76.96,0.134,-0.005,0.134,92.14,0.03,-0.087,0.092,160.97
2024-08-30T09-20-00Z,45.7616667,13.4963333,12.07,27.18,62.63,0.115,-0.031,0.119,105.09,0.053,-0.07,0.088,142.87
2024-08-30T09-30-00Z,45.7616667,13.4963333,12.06,27.18,89.93,0.142,-0.031,0.145,102.32,0.068,-0.106,0.126,147.32
2024-08-30T09-40-00Z,45.7616667,13.4963333,12.04,27.18,51.9,0.05,-0.016,0.052,107.74,0.024,-0.067,0.071,160.29
2024-08-30T09-50-00Z,45.7616667,13.4963333,12.03,27.18,57.17,0.058,-0.02,0.061,109.03,0.017,-0.088,0.09,169.07
2024-08-30T10-00-00Z,45.7616667,13.4963333,12,27.18,65.73,0.089,-0.033,0.095,110.34,0.036,-0.122,0.127,163.56
2024-08-30T10-10-00Z,45.7616667,13.4963333,11.98,27.18,35.39,0.048,-0.026,0.055,118.44,0.02,-0.071,0.074,164.27
2024-08-30T10-20-00Z,45.7616667,13.4963333,11.96,27.18,42.23,0.022,-0.05,0.055,156.25,0.027,-0.088,0.092,162.94
2024-08-30T10-30-00Z,45.7616667,13.4963333,11.93,27.17,25.95,0.019,-0.041,0.045,155.14,0.035,-0.062,0.071,150.55
2024-08-30T10-40-00Z,45.7616667,13.4963333,11.91,27.17,23.54,-0.041,-0.04,0.057,225.71,0.012,-0.066,0.067,169.7
2024-08-30T10-50-00Z,45.7616667,13.4963333,11.88,27.17,31.76,0.016,-0.046,0.049,160.82,0.056,-0.066,0.087,139.69
2024-08-30T11-00-00Z,45.7616667,13.4963333,11.86,27.17,24.54,0.021,-0.015,0.026,125.54,0.034,-0.062,0.071,151.26
2024-08-30T11-10-00Z,45.7616667,13.4963333,11.85,27.17,9.44,0.094,-0.014,0.095,98.47,0.016,-0.028,0.032,150.26
2024-08-30T11-20-00Z,45.7616667,13.4963333,11.83,27.17,3.46,0.104,-0.021,0.106,101.42,0.004,-0.007,0.008,150.26
2024-08-30T11-30-00Z,45.7616667,13.4963333,11.83,27.17,4.16,0.083,-0.02,0.085,103.55,0.049,0.006,0.049,83.02
2024-08-30T11-40-00Z,45.7616667,13.4963333,11.82,27.17,11.61,0.068,-0.04,0.079,120.47,-0.002,-0.022,0.022,185.19
2024-08-30T11-50-00Z,45.7616667,13.4963333,11.8,27.16,28.41,0.095,-0.03,0.1,107.53,0.01,-0.055,0.056,169.7
2024-08-30T12-00-00Z,45.7616667,13.4963333,11.8,27.16,28.53,0.024,-0.021,0.032,131.19,0.018,-0.065,0.067,164.52
2024-08-30T12-10-00Z,45.7616667,13.4963333,11.78,27.16,26.86,0.069,-0.016,0.071,103.06,0.006,-0.061,0.061,174.38
2024-08-30T12-20-00Z,45.7616667,13.4963333,11.78,27.16,32.1,0.072,-0.005,0.072,93.97,-0.022,-0.084,0.087,194.68
2024-08-30T12-30-00Z,45.7616667,13.4963333,11.76,27.16,44.61,0.027,-0.009,0.028,108.43,0.001,-0.099,0.099,179.42
2024-08-30T12-40-00Z,45.7616667,13.4963333,11.77,27.15,49.62,0.092,-0.015,0.093,99.26,0.02,-0.093,0.095,167.86
2024-08-30T12-50-00Z,45.7616667,13.4963333,11.76,27.15,82.24,-0.01,-0.023,0.025,203.5,0.056,-0.14,0.151,158.2
2024-08-30T13-00-00Z,45.7616667,13.4963333,11.75,27.15,56.92,-0.028,-0.037,0.046,217.12,0.043,-0.116,0.124,159.66
2024-08-30T13-10-00Z,45.7616667,13.4963333,11.74,27.15,93.23,0.026,-0.048,0.055,151.56,0.094,-0.123,0.155,142.61
2024-08-30T13-20-00Z,45.7616667,13.4963333,11.74,27.15,84.82,-0.025,-0.033,0.041,217.15,0.089,-0.115,0.145,142.26
2024-08-30T13-30-00Z,45.7616667,13.4963333,11.74,27.15,69.57,0.068,-0.015,0.07,102.44,0.108,-0.084,0.137,127.87
2024-08-30T13-40-00Z,45.7616667,13.4963333,11.74,27.14,29.4,0.061,0.007,0.061,83.45,0.049,-0.037,0.061,127.06
2024-08-30T13-50-00Z,45.7616667,13.4963333,11.76,27.14,66.73,0.079,-0.008,0.079,95.78,0.082,-0.077,0.112,133.2
2024-08-30T14-00-00Z,45.7616667,13.4963333,11.77,27.14,24.98,0.075,-0.022,0.078,106.35,0.002,-0.026,0.026,175.6
2024-08-30T14-10-00Z,45.7616667,13.4963333,11.79,27.14,19.16,0.084,-0.019,0.086,102.75,0.024,-0.007,0.025,106.26
2024-08-30T14-20-00Z,45.7616667,13.4963333,11.81,27.14,11.57,0.076,-0.024,0.08,107.53,-0.016,-0.01,0.019,237.99
2024-08-30T14-30-00Z,45.7616667,13.4963333,11.84,27.14,9.14,0.085,-0.023,0.088,105.14,-0.01,-0.018,0.021,209.05
2024-08-30T14-50-00Z,45.7616667,13.4963333,11.9,27.14,29.71,0.069,-0.028,0.074,112.09,0.011,-0.041,0.042,164.98
2024-08-30T15-00-00Z,45.7616667,13.4963333,11.91,27.14,32.23,0.071,-0.008,0.071,96.43,0.022,-0.047,0.052,154.92
2024-08-30T15-10-00Z,45.7616667,13.4963333,11.92,27.14,37.45,0.119,-0.031,0.123,104.6,0.031,-0.043,0.053,144.21
2024-08-30T15-20-00Z,45.7616667,13.4963333,11.94,27.14,41.58,0.111,-0.03,0.115,105.12,0.013,-0.072,0.073,169.77
2024-08-30T15-30-00Z,45.7616667,13.4963333,11.94,27.14,35.75,0.086,-0.006,0.086,93.99,0.04,-0.052,0.066,142.43
2024-08-30T15-40-00Z,45.7616667,13.4963333,11.95,27.14,9.47,0.086,-0.021,0.089,103.72,-0.01,-0.014,0.017,215.54
